prompt;doc_class_question_type;cer
Напиши Серия (соедини четыре цифры вместе) и номер паспорта. Выдай ответ в формате ХХХХ ХХХХХХ. Следуй точно примеру. Пример: 4254 587326.;passport Серия и номер паспорта;0.0
Напиши Фамилия. Пример: Куликов.;passport Фамилия;0.0
Напиши Имя. Пример: Арсен.;passport Имя;0.0
Напиши Отчество. В ответе укажи только одно слово. Пример: Михайлович.;passport Отчество;0.0
Напиши Дата рождения. Выйдай ответ в формате даты. Следуй точно примеру. Пример: 12.12.1975.;passport Дата рождения;0.0
Напиши Пол гражданина с маленькой буквы. Пример: муж., жен.;passport Пол;0.0
Напиши Место рождения. Пример: Гор. Москва Московская обл.;passport Место рождения;0.0
Напиши Номер счет-фактуры. Укажи только цифру. Пример: 632.;invoice Номер счет-фактуры;0.0
Напиши Дату счет-фактуры. Выйдай ответ в формате даты. Следуй точно примеру. Пример: 22 января 1990;invoice Дата счет-фактуры;0.0
Напиши кто Продавец. Укажи только название и никаких других слов. Пример: ПАО «Лимончик»;invoice Продавец;0.0
Напиши кто Покупатель. Укажи только название и никаких других слов. Пример: ИП «Огурчик»;invoice Покупатель;0.0
